그룹,진료년도,성별,연령,진료인원
그룹1,2020,남자,0~4세,3297
그룹1,2020,남자,5-9세,113
그룹1,2020,남자,10-14세,127
그룹1,2020,남자,15-19세,210
그룹1,2020,남자,20-24세,269
그룹1,2020,남자,25-29세,349
그룹1,2020,남자,30-34세,407
그룹1,2020,남자,35-39세,596
그룹1,2020,남자,40-44세,912
그룹1,2020,남자,45-49세,1442
그룹1,2020,남자,50-54세,2233
그룹1,2020,남자,55-59세,2984
그룹1,2020,남자,60-64세,4046
그룹1,2020,남자,65-69세,4224
그룹1,2020,남자,70-74세,4651
그룹1,2020,남자,75-79세,5302
그룹1,2020,남자,80~84세,4591
그룹1,2020,남자,85세이상,3245
그룹1,2020,여자,0~4세,2402
그룹1,2020,여자,5-9세,104
그룹1,2020,여자,10-14세,87
그룹1,2020,여자,15-19세,146
그룹1,2020,여자,20-24세,170
그룹1,2020,여자,25-29세,241
그룹1,2020,여자,30-34세,283
그룹1,2020,여자,35-39세,393
그룹1,2020,여자,40-44세,502
그룹1,2020,여자,45-49세,782
그룹1,2020,여자,50-54세,999
그룹1,2020,여자,55-59세,1322
그룹1,2020,여자,60-64세,1824
그룹1,2020,여자,65-69세,2070
그룹1,2020,여자,70-74세,2594
그룹1,2020,여자,75-79세,3443
그룹1,2020,여자,80~84세,3661
그룹1,2020,여자,85세이상,3593
그룹1,2021,남자,0~4세,3316
그룹1,2021,남자,5-9세,128
그룹1,2021,남자,10-14세,133
그룹1,2021,남자,15-19세,213
그룹1,2021,남자,20-24세,278
그룹1,2021,남자,25-29세,375
그룹1,2021,남자,30-34세,420
그룹1,2021,남자,35-39세,593
그룹1,2021,남자,40-44세,989
그룹1,2021,남자,45-49세,1439
그룹1,2021,남자,50-54세,2311
그룹1,2021,남자,55-59세,3079
그룹1,2021,남자,60-64세,4421
그룹1,2021,남자,65-69세,4907
그룹1,2021,남자,70-74세,5073
그룹1,2021,남자,75-79세,5323
그룹1,2021,남자,80~84세,5117
그룹1,2021,남자,85세이상,3668
그룹1,2021,여자,0~4세,2339
그룹1,2021,여자,5-9세,99
그룹1,2021,여자,10-14세,101
그룹1,2021,여자,15-19세,109
그룹1,2021,여자,20-24세,213
그룹1,2021,여자,25-29세,234
그룹1,2021,여자,30-34세,307
그룹1,2021,여자,35-39세,379
그룹1,2021,여자,40-44세,552
그룹1,2021,여자,45-49세,762
그룹1,2021,여자,50-54세,1134
그룹1,2021,여자,55-59세,1421
그룹1,2021,여자,60-64세,1994
그룹1,2021,여자,65-69세,2414
그룹1,2021,여자,70-74세,2829
그룹1,2021,여자,75-79세,3567
그룹1,2021,여자,80~84세,4062
그룹1,2021,여자,85세이상,4064
그룹1,2022,남자,0~4세,3119
그룹1,2022,남자,5-9세,160
그룹1,2022,남자,10-14세,143
그룹1,2022,남자,15-19세,184
그룹1,2022,남자,20-24세,276
그룹1,2022,남자,25-29세,350
그룹1,2022,남자,30-34세,465
그룹1,2022,남자,35-39세,647
그룹1,2022,남자,40-44세,1022
그룹1,2022,남자,45-49세,1425
그룹1,2022,남자,50-54세,2366
그룹1,2022,남자,55-59세,3082
그룹1,2022,남자,60-64세,4623
그룹1,2022,남자,65-69세,5248
그룹1,2022,남자,70-74세,5548
그룹1,2022,남자,75-79세,5912
그룹1,2022,남자,80~84세,6031
그룹1,2022,남자,85세이상,4187
그룹1,2022,여자,0~4세,2360
그룹1,2022,여자,5-9세,102
그룹1,2022,여자,10-14세,132
그룹1,2022,여자,15-19세,137
그룹1,2022,여자,20-24세,181
그룹1,2022,여자,25-29세,248
그룹1,2022,여자,30-34세,313
그룹1,2022,여자,35-39세,390
그룹1,2022,여자,40-44세,563
그룹1,2022,여자,45-49세,834
그룹1,2022,여자,50-54세,1131
그룹1,2022,여자,55-59세,1378
그룹1,2022,여자,60-64세,2103
그룹1,2022,여자,65-69세,2569
그룹1,2022,여자,70-74세,3000
그룹1,2022,여자,75-79세,3684
그룹1,2022,여자,80~84세,4734
그룹1,2022,여자,85세이상,4624
그룹1,2023,남자,0~4세,3103
그룹1,2023,남자,5-9세,170
그룹1,2023,남자,10-14세,156
그룹1,2023,남자,15-19세,208
그룹1,2023,남자,20-24세,286
그룹1,2023,남자,25-29세,370
그룹1,2023,남자,30-34세,460
그룹1,2023,남자,35-39세,595
그룹1,2023,남자,40-44세,1018
그룹1,2023,남자,45-49세,1389
그룹1,2023,남자,50-54세,2338
그룹1,2023,남자,55-59세,2994
그룹1,2023,남자,60-64세,4477
그룹1,2023,남자,65-69세,5275
그룹1,2023,남자,70-74세,5367
그룹1,2023,남자,75-79세,5858
그룹1,2023,남자,80~84세,5985
그룹1,2023,남자,85세이상,4390
그룹1,2023,여자,0~4세,2205
그룹1,2023,여자,5-9세,151
그룹1,2023,여자,10-14세,133
그룹1,2023,여자,15-19세,164
그룹1,2023,여자,20-24세,220
그룹1,2023,여자,25-29세,268
그룹1,2023,여자,30-34세,339
그룹1,2023,여자,35-39세,403
그룹1,2023,여자,40-44세,627
그룹1,2023,여자,45-49세,791
그룹1,2023,여자,50-54세,1186
그룹1,2023,여자,55-59세,1488
그룹1,2023,여자,60-64세,2087
그룹1,2023,여자,65-69세,2519
그룹1,2023,여자,70-74세,2958
그룹1,2023,여자,75-79세,3691
그룹1,2023,여자,80~84세,4420
그룹1,2023,여자,85세이상,4566
그룹1,2024,남자,0~4세,3163
그룹1,2024,남자,5-9세,147
그룹1,2024,남자,10-14세,127
그룹1,2024,남자,15-19세,182
그룹1,2024,남자,20-24세,240
그룹1,2024,남자,25-29세,314
그룹1,2024,남자,30-34세,422
그룹1,2024,남자,35-39세,542
그룹1,2024,남자,40-44세,868
그룹1,2024,남자,45-49세,1205
그룹1,2024,남자,50-54세,1962
그룹1,2024,남자,55-59세,2828
그룹1,2024,남자,60-64세,3818
그룹1,2024,남자,65-69세,4569
그룹1,2024,남자,70-74세,4579
그룹1,2024,남자,75-79세,5265
그룹1,2024,남자,80~84세,4992
그룹1,2024,남자,85세이상,3975
그룹1,2024,여자,0~4세,2260
그룹1,2024,여자,5-9세,115
그룹1,2024,여자,10-14세,95
그룹1,2024,여자,15-19세,148
그룹1,2024,여자,20-24세,171
그룹1,2024,여자,25-29세,258
그룹1,2024,여자,30-34세,316
그룹1,2024,여자,35-39세,388
그룹1,2024,여자,40-44세,587
그룹1,2024,여자,45-49세,644
그룹1,2024,여자,50-54세,1067
그룹1,2024,여자,55-59세,1293
그룹1,2024,여자,60-64세,1725
그룹1,2024,여자,65-69세,2308
그룹1,2024,여자,70-74세,2528
그룹1,2024,여자,75-79세,3197
그룹1,2024,여자,80~84세,3774
그룹1,2024,여자,85세이상,4240
그룹2,2020,남자,0~4세,34
그룹2,2020,남자,5-9세,7
그룹2,2020,남자,10-14세,14
그룹2,2020,남자,15-19세,18
그룹2,2020,남자,20-24세,10
그룹2,2020,남자,25-29세,18
그룹2,2020,남자,30-34세,33
그룹2,2020,남자,35-39세,48
그룹2,2020,남자,40-44세,74
그룹2,2020,남자,45-49세,120
그룹2,2020,남자,50-54세,180
그룹2,2020,남자,55-59세,232
그룹2,2020,남자,60-64세,347
그룹2,2020,남자,65-69세,319
그룹2,2020,남자,70-74세,218
그룹2,2020,남자,75-79세,164
그룹2,2020,남자,80~84세,94
그룹2,2020,남자,85세이상,26
그룹2,2020,여자,0~4세,33
그룹2,2020,여자,5-9세,8
그룹2,2020,여자,10-14세,11
그룹2,2020,여자,15-19세,9
그룹2,2020,여자,20-24세,14
그룹2,2020,여자,25-29세,32
그룹2,2020,여자,30-34세,21
